Community,House_type,Listing_price,Sigma_estimate,Sold_price,Bedroom,Washroom,Parking,Tax,Maintenance,Size,Days_on_market,Exposure,heat,water,hydro,Size_cat
Church-Yonge Corridor - Toronto,Condo Apt,699900,726594,695000.0,2.0,2,1,2555.0,739.0,700.0,12,SE,1,1,1,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,619990,628460,615000.0,1.0,1,0,2009.0,365.0,0.0,18,SW,1,1,0,"[0, 500)"
Waterfront Communities C1 - Toronto,Condo Apt,680000,689902,668000.0,1.0,1,0,2545.0,326.0,500.0,19,NW,1,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,649900,670962,680000.0,1.33,1,1,2150.0,445.0,600.0,1,NW,1,1,0,"[600, 700)"
Moss Park - Toronto,Condo Apt,598000,639412,675000.0,1.0,1,0,2543.0,652.0,700.0,2,E,1,1,1,"[700, 800)"
Bay Street Corridor - Toronto,Condo Apt,609900,608316,730888.0,1.0,1,1,2213.0,474.0,500.0,2,SW,1,1,1,"[500, 600)"
High Park-Swansea - Toronto,Condo Apt,599000,618264,722000.0,1.33,1,1,2303.0,631.0,700.0,2,NW,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,639000,644210,638000.0,1.0,1,0,2028.0,275.0,0.0,3,S,1,1,0,"[0, 500)"
South Riverdale - Toronto,Condo Apt,649000,690419,755000.0,1.0,1,0,2459.0,435.0,700.0,3,S,0,1,0,"[700, 800)"
Niagara - Toronto,Condo Apt,599000,633144,710000.0,1.33,1,1,2447.0,448.0,600.0,3,S,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,669900,682255,740200.0,1.33,1,0,2545.0,389.0,600.0,3,S,1,1,0,"[600, 700)"
Cabbagetown-South St. James Town - Toronto,Condo Apt,559900,569799,579900.0,2.0,1,1,1799.0,597.0,600.0,3,E,1,1,1,"[600, 700)"
The Beaches - Toronto,Condo Apt,575000,592424,645000.0,1.33,1,1,2237.0,461.0,600.0,4,S,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,649000,675255,649000.0,1.0,1,0,2015.0,550.0,600.0,7,W,1,1,1,"[600, 700)"
Keelesdale-Eglinton West - Toronto,Detached,699000,796776,830000.0,2.0,2,1,2513.0,694.2727272727273,1300.0,7,N,0,0,0,"[1100, 1500)"
Little Portugal - Toronto,Condo Apt,599900,617721,665000.0,2.33,2,1,2075.0,548.0,700.0,9,N,1,1,0,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,579888,589593,569000.0,1.0,1,1,1781.0,615.0,500.0,11,W,1,1,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,554900,561810,554000.0,1.0,1,0,1913.0,558.0,500.0,15,SW,0,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,689900,712094,682500.0,2.0,1,1,2182.0,564.0,600.0,18,NE,1,1,0,"[600, 700)"
Yonge-Eglinton - Toronto,Condo Apt,655000,656943,640000.0,1.33,1,0,2339.0,378.0,600.0,162,E,0,0,0,"[600, 700)"
Junction Area - Toronto,Condo Apt,649000,672332,700000.0,2.0,2,1,2183.0,422.0,800.0,0,N,0,1,0,"[800, 900)"
Waterfront Communities C8 - Toronto,Condo Apt,599900,623080,617000.0,1.33,1,0,2081.0,396.0,500.0,0,S,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,649000,681734,705800.0,1.33,1,1,3011.0,549.0,500.0,0,SE,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,608800,616438,608000.0,1.0,1,0,2180.0,316.0,500.0,1,E,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,659900,682680,659900.0,1.0,1,0,2029.0,383.0,500.0,1,E,0,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,670000,676362,702000.0,1.33,2,0,2322.5,454.0,600.0,2,E,1,0,0,"[600, 700)"
Cabbagetown-South St. James Town - Toronto,Condo Townhouse,599000,639674,630215.0,2.0,1,1,2063.0,425.0,600.0,2,W,0,1,0,"[600, 700)"
South Riverdale - Toronto,Condo Apt,599900,634877,720000.0,1.0,1,1,2351.0,455.0,500.0,2,N,0,1,0,"[500, 600)"
Little Portugal - Toronto,Condo Apt,599900,619394,665000.0,2.0,2,1,2040.0,503.0,700.0,7,SE,1,1,0,"[700, 800)"
High Park North - Toronto,Condo Apt,649900,666371,712000.0,1.0,1,1,2369.0,715.0,800.0,8,E,1,1,1,"[800, 900)"
Annex - Toronto,Condo Apt,689900,685455,645000.0,1.0,1,1,2557.0,699.0,700.0,8,SE,1,1,1,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,598900,614381,630000.0,1.0,1,1,2096.0,462.0,600.0,9,SW,1,1,0,"[600, 700)"
Mount Pleasant West - Toronto,Condo Apt,688000,715875,721000.0,1.33,2,0,2945.0,491.0,600.0,9,S,0,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,629990,634674,615000.0,1.0,1,0,2177.0,363.0,500.0,12,N,1,1,0,"[500, 600)"
Waterfront Communities C8 - Toronto,Condo Apt,580000,592098,575000.0,1.0,1,1,1979.0,454.0,500.0,29,W,1,1,0,"[500, 600)"
Roncesvalles - Toronto,Condo Apt,679900,717899,690000.0,1.0,1,0,2398.0,423.0,500.0,27,SW,1,1,0,"[500, 600)"
Moss Park - Toronto,Condo Apt,639000,643833,632000.0,1.33,1,0,2147.0,419.0,600.0,130,S,1,1,0,"[600, 700)"
Bay Street Corridor - Toronto,Condo Apt,679000,685819,695000.0,1.33,1,0,2465.0,386.0,500.0,0,SE,1,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,599900,625247,645000.0,1.33,1,1,2144.0,547.0,600.0,1,N,1,1,0,"[600, 700)"
Mount Pleasant West - Toronto,Condo Apt,565000,563540,565000.0,1.0,1,0,1955.0,419.0,500.0,2,E,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,589900,598974,585000.0,1.0,1,0,1938.0,365.0,0.0,2,N,1,1,0,"[0, 500)"
Waterfront Communities C1 - Toronto,Condo Apt,559999,576224,553000.0,1.33,1,0,1547.0,492.0,500.0,4,E,1,1,1,"[500, 600)"
Regent Park - Toronto,Condo Apt,579000,593285,586500.0,1.33,2,0,1901.0,476.0,600.0,5,W,1,1,0,"[600, 700)"
South Riverdale - Toronto,Condo Apt,599900,652917,686500.0,1.0,1,1,2267.0,479.0,500.0,6,N,0,1,0,"[500, 600)"
North St. James Town - Toronto,Condo Apt,599999,633437,688800.0,1.33,1,1,2177.0,458.0,600.0,6,N,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,599999,613052,595000.0,1.0,1,0,2189.0,294.0,500.0,6,W,1,1,0,"[500, 600)"
Flemingdon Park - Toronto,Condo Townhouse,574999,607669,650000.0,4.0,2,1,1400.0,825.0,1200.0,7,N,1,1,1,"[1100, 1500)"
Waterfront Communities C1 - Toronto,Condo Apt,599999,627860,741000.0,1.0,1,1,2645.0,550.0,600.0,8,SW,0,1,0,"[600, 700)"
