Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality
C5101196,Unit G09 - 350 Wellington St W,Waterfront Communities C1 - Toronto,Condo Apt,629900,623146,2021-02-17 00:00:00,610000.0,1.0,1,0,1601.0,"Condo Apt, Apartment",687.0,16-30,500.0,,"water,hydro,heat",6,33.0,2021-02-02 00:00:00,2021-02-17 00:00:00,1717.0,1.47,Blue Jays Way & Wellington,"Concierge, Guest Suites, Gym, Indoor Pool, Sauna, Security System",W,Toronto
C5100901,Unit 1202 - 300 Front St W,Waterfront Communities C1 - Toronto,Condo Apt,628000,616524,2021-02-09 00:00:00,618100.0,1.0,1,0,2500.0,"Condo Apt, Apartment",350.0,,500.0,,heat,7,30.0,2021-02-01 00:00:00,2021-02-09 00:00:00,1712.0,1.96,Front &  John,"Concierge, Games Room, Gym, Lap Pool, Party/Meeting Room, Rooftop Deck/Garden",W,Toronto
C5100152,Unit 3212 - 8 Eglinton Ave E,Mount Pleasant West - Toronto,Condo Apt,660000,671442,2021-02-19 00:00:00,670000.0,1.33,2,0,2945.0,"Condo Apt, Apartment",491.0,New,600.0,,"water,heat",7,30.0,2021-02-01 00:00:00,2021-02-19 00:00:00,1950.0,1.92,Yonge & Eglinton,"Concierge, Gym, Indoor Pool, Visitor Parking",S,Toronto
C5099667,Unit 633 - 1030 King St W,Waterfront Communities C1 - Toronto,Condo Apt,599000,610736,2021-02-10 00:00:00,620000.0,1.33,1,0,2105.0,"Condo Apt, Apartment",340.0,6-10,500.0,,"water,heat",7,30.0,2021-02-01 00:00:00,2021-02-10 00:00:00,1829.0,2.33,King St W & Shaw,"Concierge, Gym, Rooftop Deck/Garden, Security Guard, Visitor Parking",E,Toronto
C5099652,Unit 2905 - 5 Soudan Ave,Mount Pleasant West - Toronto,Condo Apt,599990,584352,2021-02-08 00:00:00,580000.0,1.33,1,0,,"Condo Apt, Apartment",362.0,,500.0,,,7,30.0,2021-02-01 00:00:00,2021-02-08 00:00:00,1817.0,2.64,Yonge & Eglinton,,SE,Toronto
C5099531,Unit 511 - 20 Tubman Ave,Regent Park - Toronto,Condo Apt,575000,581033,2021-02-08 00:00:00,577500.0,1.33,1,0,1759.0,"Condo Apt, Apartment",361.0,0-5,500.0,,"water,heat",7,32.0,2021-02-01 00:00:00,2021-02-08 00:00:00,1754.0,2.29,Dundas St E & Tubman Ave,"Gym, Party/Meeting Room, Recreation Room, Rooftop Deck/Garden, Security Guard, Visitor Parking",NW,Toronto
C5099255,Unit 1301 - 500 Sherbourne St,North St. James Town - Toronto,Condo Apt,579000,565287,2021-02-08 00:00:00,588800.0,1.33,1,0,1973.0,"Condo Apt, Apartment",430.0,,600.0,,"water,heat",10,22.0,2021-01-29 00:00:00,2021-02-08 00:00:00,1613.0,1.97,Sherbourne & Wellesley,"Concierge, Exercise Room, Games Room, Party/Meeting Room, Sauna, Security Guard",NW,Toronto
C5098842,Unit 4710 - 8 Eglinton Ave E,Mount Pleasant West - Toronto,Condo Apt,578000,571674,2021-02-09 00:00:00,565000.0,1.0,1,0,2414.0,"Condo Apt, Apartment",379.0,0-5,500.0,,,9,30.0,2021-01-30 00:00:00,2021-02-09 00:00:00,1644.0,1.93,Yonge & Eglinton,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Sauna, Security Guard",E,Toronto
C5097181,Unit 3104 - 832 Bay St,Bay Street Corridor - Toronto,Condo Apt,598000,577622,2021-02-09 00:00:00,592000.0,1.0,1,0,2081.0,"Condo Apt, Apartment",319.0,,0.0,,"water,heat",11,42.0,2021-01-28 00:00:00,2021-02-09 00:00:00,1600.0,1.9,Bay & College,"Concierge, Outdoor Pool, Recreation Room, Security Guard, Security System, Visitor Parking",NW,Toronto
C5088163,Unit 304 - 140 Simcoe St,Waterfront Communities C1 - Toronto,Condo Apt,595000,583659,2021-02-08 00:00:00,595000.0,1.0,1,0,2118.0,"Condo Apt, Apartment",407.0,,600.0,,"water,heat",20,31.0,2021-01-19 00:00:00,2021-02-08 00:00:00,1571.0,1.77,University & Richmond St West,,S,Toronto
